Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
0.6,0.45,7.7,21.5,110.65,3.15,0.002318466
1.55,6.55,6.8,33.9,126.05,4.3,0.221895446
0.6,2.95,11.55,27.2,124.8,6.1,0.007289231
0.55,1.4,11.75,23.35,153.45,3.6,0.206818388
1.05,2.75,10.2,29.9,200.25,4.9,0.491597973
1.05,0.25,11.65,21.65,65.45,2.05,0.350690773
0.9,0.15,11.1,25.6,52.25,2.15,0.485672235
0.65,0.65,8.7,21.15,59.65,1.55,0.22798358
1.2,0.7,10.2,26.95,74.5,2.6,0.443755528
0.65,0.4,9.65,24,66.6,1.95,0.392238533
1.5,0.25,11.4,26.45,76.3,4.15,0.400686249
1.05,0.8,9.05,29.1,86.5,4.7,0.49155732
1.2,0.45,6.2,28.3,90.95,3.05,0.008468736
0.85,0.4,8.1,17.45,74.45,1.95,0.207109259
0.9,0.45,6.8,26.8,82.35,3.25,0.104617128
1.55,1.2,6.45,31.9,82.45,2.95,0.227948058
1,0.25,9.6,25.65,73.7,3.2,0.114448846
1.2,0.15,8.4,28.55,77.15,2.7,0.47389655
1.45,1.7,4.4,32.2,66.25,2.5,0.290053981
0.9,1.35,6.7,21.95,57.6,3.1,0.19609019
2.35,2.75,14.9,22.75,87.35,8.7,0.012072112
3.4,3.55,14.25,31.95,80.45,12.15,0.10691161
0.85,1.95,13.6,32,77.3,14.65,0.04886869
4.1,4.45,10.65,20.1,63.1,40.15,0.090640917
2.1,1.7,13.95,19.55,58.4,12.2,0.085959701
1.1,0.65,11.6,11.4,103.95,3.7,0.420739531
1,1,11.2,12.05,108.95,4.55,0.037576497
1.2,1.25,10.5,13.6,95.25,3.7,0.014511376
2.5,3.1,17.8,19.7,159.9,9.85,0.072471338
2.45,0.65,14.05,12.7,136.9,5,0.007334747
2.15,3.6,28.25,8.6,133.95,66.7,0.192072204
3.65,2.4,21.05,8.45,120.3,72.65,0.198853088
4.4,10.15,27.05,11,129.45,71,0.141208393
3.65,6.05,32.8,13.95,139.2,72.35,0.091108788
7.25,16.75,18.35,12.05,94.6,71.05,0.155282599
1.7,1.1,15.7,15.15,156.05,5.9,0.343806789
2,1.2,15.15,14.4,155.5,9.35,0.039913474
1.95,2.15,14.05,14.9,146.5,10.3,0.552167503
1.8,2.8,13.05,12.55,132.85,10.8,0.023623327
1.6,2.4,13.2,13.3,142.55,10.45,0.201716055
11.6,2.5,45.35,11.3,104.85,67.7,0.11859002
17.45,0.3,69.65,11.8,163.2,65.6,0.092796869
15.9,1.55,67.9,11.7,145.4,66.15,0.094603265
5.95,0.35,60.7,13.65,115.3,64.1,0.143521788
9,0.3,51.45,14.05,169.05,66.55,0.089569573
1.45,0.25,19.85,3.05,89.3,77.55,0.096467851
1.95,0.5,25.45,2.85,77.75,77.1,0.412336935
1.3,0.45,19.25,2.55,78.2,75.7,0.135232343
1.6,0.05,25.3,2.85,79.05,74.2,0.002879319
2.65,0.55,27.35,2.95,60.8,82.85,0.048242045
3.5,0.5,34.3,16.5,132.55,28.9,0.139592396
6.5,0.05,44.05,13,147.55,33.1,0.007843498
10.5,2.1,51,11.8,111.4,57.6,0.18254707
2.75,0.9,48.7,7.5,67.35,118.75,0.07126839
5.4,3.35,11.35,21.8,82.6,29.55,0.557260892
6,2.5,19.3,20,165.95,36,0.541631443
3.85,2.15,16.65,23.35,183.5,32.7,0.459651118
4.5,4.3,15,32.45,196.7,33.75,0.624949652
4.2,4.1,13.95,30.35,229.4,28.3,0.490681598
