Labile.Pi,Labile.Po,OH.Pi,OH.Po,acid.P,PME
19.78070175,101.7289638,14.74571171,54.03302696,30.703667,0.5203
23.62675539,85.74288056,8.640647393,72.82271936,32.95096606,0.5828
18.13186813,109.8653265,6.878466102,58.62509453,26.03237529,0.4783
27.94534413,92.95063623,29.7923563,88.93365087,44.97522299,1.2503
27.24983756,114.2386899,26.19230726,96.86346312,41.46019161,0.8635
30.8517019,73.28881341,22.49397374,108.3397804,62.24785016,0.9208
36.19272246,60.64567284,31.47371531,108.4108366,56.71888781,1.1806
23.56262572,92.22703079,25.26700697,99.47381278,21.67286871,0.9785
30.56489191,102.5932131,15.33054355,141.8849153,35.8845859,0.7902
58.02653651,172.535559,25.03086671,92.86689136,69.63496754,1.2141
51.92180378,150.1311468,23.84751219,87.52139732,64.30802027,2.0043
38.32458145,95.34941805,28.00761569,65.4847962,43.74490967,1.2739
50.64905854,136.3788057,25.50764513,102.3496484,42.64476851,1.4405
49.83098149,137.2536266,17.23790352,86.23459317,70.99213871,1.5652
56.48876259,197.8365378,24.3061182,95.69453081,68.40359838,1.4928
32.35117709,107.1227273,20.97411065,49.18114364,67.05308787,1.2546
29.80094467,97.84557267,20.76436955,85.13733895,68.95936571,1.6789
30.8517019,96.84440615,27.05356302,80.59964061,81.86923747,1.3809
29.80094467,118.0971836,23.77369847,75.37837916,83.03270565,1.8996
32.74791323,97.94430092,31.7651386,73.16662295,97.62140733,1.2934
27.94534413,56.12952546,20.76436955,73.66296646,88.97918731,1.4522
48.84540411,106.7454848,24.01383683,123.1826588,104.4938983,2.3246
37.90974561,111.2100176,32.06200905,95.92865501,127.4325463,2.0829
32.06065377,98.06333336,34.55155426,92.25401106,80.18573579,1.7236
29.65357756,74.61332187,28.92461777,97.48351783,82.34626228,2.0856
38.58961863,102.3306818,27.5855151,93.59535782,78.35040194,2.337
35.36774629,126.0314559,34.30634968,95.89402998,65.39147671,2.0241
22.8623991,78.45355034,22.42801742,83.21007342,60.94208725,1.4624
53.38985316,167.172246,17.57924814,133.3852683,116.7512192,1.5172
36.48735319,144.5801552,16.08948135,122.8459899,64.54778283,1.5399
23.91273903,75.08741728,47.97892334,72.30459299,65.24300166,1.5074
35.75246189,107.643283,57.80295153,70.44003519,64.94028987,1.407
30.2147786,100.048585,26.68650174,94.87052985,50.8442882,1.3767
36.86922194,69.80876253,91.12360467,69.66900385,55.92656744,0.8952
34.39046334,189.4585117,87.12723729,46.51545412,79.07876728,0.9836
31.56288156,24.54547771,45.56983793,66.21690588,60.01227052,0.8909
35.38501623,87.95962875,63.76201869,63.14440745,55.71637441,0.9374
29.50588581,111.4594227,20.55878173,94.98687957,65.13654339,0.9278
33.97730697,109.017298,53.75888555,60.8537786,61.17755732,1.3913
7.609836557,52.51891335,39.21246774,13.89826413,67.65374258,1.7236
8.275978408,41.43252113,32.80168522,34.62712726,61.4271556,1.8199
8.314517803,48.92342682,32.9868747,35.09353677,50.48791644,1.28
9.109311741,57.83816239,24.01383683,33.18758042,69.65592496,1.605
9.381091618,71.30714495,37.33796993,25.09611571,62.0159307,1.9003
7.600825288,61.43875741,44.56121669,19.62517696,60.9704963,1.6859
20.68719018,100.8346275,71.21085265,39.65684665,79.26679685,1.3327
21.78952713,96.08663606,80.1494534,19.35748105,104.976008,1.7842
16.68238932,101.2881598,52.29804627,52.48505835,64.06419891,1.657
21.66634535,105.7463872,68.49805827,48.43126145,65.86436358,1.5179
21.10511321,83.65528612,33.13301538,62.929913,66.25221491,1.5024
20.64580795,90.77082173,81.5148319,21.30236082,67.14328327,1.4198
17.44611349,70.87866936,20.81218131,99.60880326,64.44800534,1.4574
19.40958165,114.3737875,35.81101414,111.9384058,59.6432111,1.5645
26.51367694,113.3357342,60.47593694,91.97486052,88.60638866,1.3632
16.11825567,74.12956485,38.05915987,82.30925749,70.52216328,1.3014
22.44736187,90.16088951,40.61133202,106.7665306,68.10549713,1.2704
17.96081277,86.24987809,29.52549129,94.57857083,100.5852984,1.4998
14.50397973,79.4274253,31.93573547,117.4515031,80.27750248,1.5913
15.0945967,68.10695168,40.22083845,68.09775711,58.11161089,1.3172
11.52613412,70.49525045,56.13555869,47.64001608,98.51719143,1.3704
14.02405793,79.79896471,31.54008195,94.95059675,79.64854769,1.3337
16.16513547,85.32895191,50.34838769,64.46023756,84.41335671,1.5785
14.59739091,66.05837554,38.40476907,79.16737263,65.298032,1.5325
69.64807463,200.2542422,68.36727837,134.0561176,101.7829823,1.7401
82.78550527,157.8276938,60.78248511,132.2836893,69.25786731,1.8267
99.88732717,179.165745,124.6316411,72.06279085,64.68201283,1.6409
81.17801973,167.8709172,93.20154615,99.3922903,110.6353498,1.6166
78.37615745,204.1620688,68.23131907,129.5128173,87.31319118,1.318
93.27232917,200.4198639,73.39077671,109.0558784,75.82775429,1.8641
25.07662038,89.63088981,30.65578058,118.7823087,65.92999454,1.8041
20.15182186,111.7904917,41.82967198,95.12033856,104.6382557,2.3304
19.73359805,82.35057123,40.22083845,94.05787588,75.26492338,2.562
23.75896377,64.68390033,30.68335369,115.4924758,82.37626071,1.8919
19.56487559,70.9983742,31.84629633,86.04288767,73.30145198,1.6449
17.96081277,85.6709298,15.33054355,99.22215411,99.2763244,1.9714
1.05,8.35,21.5,110.65,3.15,0.002318466
8.1,8.1,33.9,126.05,4.3,0.221895446
3.55,12.85,27.2,124.8,6.1,0.007289231
1.95,13.8,23.35,153.45,3.6,0.206818388
3.8,10.75,29.9,200.25,4.9,0.491597973
1.3,14.7,21.65,65.45,2.05,0.350690773
1.05,14,25.6,52.25,2.15,0.485672235
1.3,10.6,21.15,59.65,1.55,0.22798358
1.9,11.35,26.95,74.5,2.6,0.443755528
1.05,11.85,24,66.6,1.95,0.392238533
1.75,12.9,26.45,76.3,4.15,0.400686249
1.85,10.3,29.1,86.5,4.7,0.49155732
1.65,7.6,28.3,90.95,3.05,0.008468736
1.25,10.3,17.45,74.45,1.95,0.207109259
1.35,8.5,26.8,82.35,3.25,0.104617128
2.75,7.1,31.9,82.45,2.95,0.227948058
1.25,11.45,25.65,73.7,3.2,0.114448846
1.35,9.45,28.55,77.15,2.7,0.47389655
3.15,6.7,32.2,66.25,2.5,0.290053981
2.25,7.1,21.95,57.6,3.1,0.19609019
5.1,23,22.75,87.35,8.7,0.012072112
6.95,21.45,31.95,80.45,12.15,0.10691161
2.8,19.9,32,77.3,14.65,0.04886869
8.55,18.2,20.1,63.1,40.15,0.090640917
3.8,21.25,19.55,58.4,12.2,0.085959701
1.75,20.15,11.4,103.95,3.7,0.420739531
2,16.3,12.05,108.95,4.55,0.037576497
2.45,18.3,13.6,95.25,3.7,0.014511376
5.6,25.85,19.7,159.9,9.85,0.072471338
3.1,19.6,12.7,136.9,5,0.007334747
5.75,29.1,8.6,133.95,66.7,0.192072204
6.05,22.2,8.45,120.3,72.65,0.198853088
14.55,28.15,11,129.45,71,0.141208393
9.7,34,13.95,139.2,72.35,0.091108788
24,20.05,12.05,94.6,71.05,0.155282599
2.8,21.5,15.15,156.05,5.9,0.343806789
3.2,23.75,14.4,155.5,9.35,0.039913474
4.1,23.25,14.9,146.5,10.3,0.552167503
4.6,19.2,12.55,132.85,10.8,0.023623327
4,21.75,13.3,142.55,10.45,0.201716055
14.1,51.5,11.3,104.85,67.7,0.11859002
17.75,80.4,11.8,163.2,65.6,0.092796869
17.45,72.6,11.7,145.4,66.15,0.094603265
6.3,62.65,13.65,115.3,64.1,0.143521788
9.3,54.75,14.05,169.05,66.55,0.089569573
1.7,20.55,3.05,89.3,77.55,0.096467851
2.45,26.55,2.85,77.75,77.1,0.412336935
1.75,19.85,2.55,78.2,75.7,0.135232343
1.65,26,2.85,79.05,74.2,0.002879319
3.2,28.45,2.95,60.8,82.85,0.048242045
4,36.35,16.5,132.55,28.9,0.139592396
6.55,46.15,13,147.55,33.1,0.007843498
12.6,56.6,11.8,111.4,57.6,0.18254707
3.65,50.55,7.5,67.35,118.75,0.07126839
8.75,20.2,21.8,82.6,29.55,0.557260892
8.5,28.15,20,165.95,36,0.541631443
6,23.35,23.35,183.5,32.7,0.459651118
8.8,21,32.45,196.7,33.75,0.624949652
8.3,20,30.35,229.4,28.3,0.490681598
33.75,13.15,28.85,81.25,122.65,0.141618072
48.6,22,35,132.2,149.35,0.288817397
30.55,16.3,24.25,120.85,179.85,0.199865476
26.35,17,13,92.75,176.8,0.091733457
32.8,10.45,18.55,74.5,171.95,0.138742317
64.55,24.3,22.8,68.45,40,0.174533387
52.1,26.6,17.2,79.35,36.4,0.154552073
39.2,28.1,16.4,124.95,23.8,0.176320308
34.6,22.2,19.75,177.05,15.2,0.154898021
49.1,35.35,21.4,179.7,22.4,0.246719136
56.4,23,24.15,146.65,138.9,0.105192149
50.85,14.1,26.95,138.5,170,0.004584332
55.15,11.05,14.4,93.75,181.85,0.093250951
44.55,31.25,15.2,78.5,171.7,0.229951763
41,42.55,18.9,90.75,126.45,0.102657038
45.3,18.65,9.7,62.6,202.7,0.14298602
43.7,19.35,7.95,56.65,201.3,0.088226665
49.95,15.7,19.75,64.3,194.5,0.082269294
48.8,24.9,31.05,79.25,176.95,0.038052934
34.2,21.3,23.6,88.95,151.7,0.026192205
5.122355597,17.36094156,39.93416488,88.36294955,11.77173818,5.42126079
3.378855605,6.985451731,46.57520153,47.09788333,9.697470867,3.643615645
10.37375504,25.25209182,51.50825019,93.12545133,6.603849893,4.65382595
4.363655791,17.37262258,53.04738305,76.42203307,3.326505715,2.817830242
12.19574243,30.04942431,72.55184625,85.70348967,138.4016994,5.233383867
7.040801863,18.29509048,70.85921084,65.56620544,88.37347428,2.250434525
23.00592443,29.83062064,98.55135025,44.75463908,123.3984337,1.137545491
4.824368858,6.588549025,119.812992,26.31651409,180.1208011,0.640139683
21.73453481,9.026023933,16.03083223,27.83849542,111.7731514,5.24992281
18.50582738,5.287311197,17.85345767,19.43103016,125.723769,3.8688793
90.54240072,25.08301763,453.5965918,54.68372072,203.9328355,4.394447427
91.84678706,24.50566111,461.7647815,67.26506175,193.314249,2.425150221
70.25843732,35.62350542,392.9263775,136.2747823,161.1381343,3.53748358
61.82814969,26.69086464,403.0100933,107.1408441,146.0773386,1.740385771
28.29205049,53.97384903,87.4772819,76.65318819,34.19662199,3.708540006
12.63105878,22.83722749,92.54174215,46.18055542,24.9161414,1.703102643
1.042478295,1.660751855,66.9716708,212.3023412,2.734315978,5.119643
0.962183714,1.565778715,66.65120968,217.0855557,2.688530435,3.810761
12.27403519,19.64725919,170.8081034,120.1867246,46.31147835,4.882572714
