Latitude,Longitude,MAT,MAP,Vegetation,Fertilization,Soil.type.raw,Soil.type,Soil.classification.system,Degree.Weathering,Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,Resi.P,TPo,TP,pH,TC,TN,Sand,Silt,Clay,Texture,PME,Top.depth,Bottom.depth,Mean.depth
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,118.8339014,27.16115973,4.442254906,62.17099278,36.7416186,340.8835943,297.0568174,,,6.766666667,,,,,,silty clay loam,0.387049752,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,121.0317921,28.28979187,4.805498461,65.02488372,38.31969307,307.3148476,286.6913092,,,6.65,,,,,,silty clay loam,0.472930971,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,34.75726634,13.60066993,4.7980899,41.73932755,44.70076606,196.8975859,276.4379755,,,6.3,,,,,,silty clay loam,0.401078852,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,21.07607259,8.215331679,4.136823454,28.32107439,37.44077243,176.5722178,245.262033,,,6.6,,,,,,silty clay loam,0.462050935,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,24.90428305,9.26654059,4.16829894,29.61352441,38.24781209,189.9194755,261.3692344,,,6.4,,,,,,silty clay loam,0.409304088,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,27.649798,11.77244736,3.697115133,37.91161101,34.91100083,173.8358624,269.7113199,,,5.75,,,,,,silty clay loam,0.549416674,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,25.41323499,11.09044907,3.727765523,37.85616642,33.53155339,177.8367361,248.569056,,,5.866666667,,,,,,silty clay loam,0.581516132,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,none,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,32.47898076,13.79167737,4.403636055,46.36689779,41.67708628,178.325826,239.9458051,,,5.666666667,,,,,,silty clay loam,0.573783987,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,106.0196816,25.67030932,4.483118381,58.50376126,32.29704467,281.5117134,271.2127005,,,6.266666667,,,,,,silty clay loam,0.286100193,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,117.634743,27.36609167,5.214982603,63.93334109,37.68366255,267.2236223,300.7166964,,,6.35,,,,,,silty clay loam,0.273905511,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,112.8907001,26.36592983,4.794683481,63.98494506,37.74819207,280.5680291,297.8375603,,,6.4,,,,,,silty clay loam,0.307215044,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,30.99225929,10.94979359,4.049334735,36.64896388,36.56102477,175.6237559,272.7514855,,,6.333333333,,,,,,silty clay loam,0.289268371,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,33.74054696,12.02623866,3.843983184,40.16450694,36.06172088,188.0525867,249.7345481,,,6.733333333,,,,,,silty clay loam,0.32451885,,,
38.54305556,-121.8744444,16.2,530,Annual.agriculture,NP,"fine-silty, mixed nonacid, thermic Typic Xerothents and fine, montmorillonitic, thermic Mollic Haploxeralfs",Alfisols,USDA system,Intermediate,34.90119362,12.14059305,4.129168156,40.20073283,38.60272441,184.7575855,266.8927599,,,6.85,,,,,,silty clay loam,0.341256747,,,
